Settle Date;Security;Maturity;Bid Price;Ask Price;Accrued
2022.10.24;A270422B20;2027.04.22;100.2;100.47;0.0926
2022.10.24;A410425A20;2041.04.25;44.3572;45.6494;1.4959
2022.10.24;A230823C20;2023.08.23;90.454;90.5923;0.2548
2022.10.24;A290523A20;2029.05.23;57.797;58.6261;0.8438
2022.10.24;A260422E20;2026.04.22;68.3036;68.7998;0.7603
2022.10.24;A330420A20;2033.04.20;49.2513;50.2158;1.1527
2022.10.24;A340622A21;2034.06.22;47.5633;48.5773;0.7644
2022.10.24;A290822B21;2029.08.22;97.61;97.95;2.1035
2022.10.24;A260826F21;2026.08.26;66.4012;66.9524;0.2425
2022.10.24;A510428G21;2051.04.28;46.9434;48.3103;1.9616
2022.10.24;A280323B22;2028.03.23;70.1901;70.6445;3.4274
2022.10.24;A321124A22;2032.11.24;64.1035;65.0034;3.6178
2022.10.24;A320527G22;2032.05.27;63.086;64.1673;1.8493
2022.10.24;D230222;2023.02.22;96.2474;96.316;0
2022.10.24;D230419;2023.04.19;94.3105;94.3849;0
2022.10.24;D230628;2023.06.28;91.811;91.95;0
2022.10.24;D230823;2023.08.23;90.1033;90.2402;0
2022.10.24;D230517;2023.05.17;92.8515;92.935;0
2022.10.24;D231018;2023.10.18;88.0807;88.2512;0
2022.10.24;A320825B22;2032.08.25;97.12;97.55;0.1914
2022.10.25;A231124A07;2023.11.24;91.2537;91.4769;5.5068
2022.10.25;A281022A11;2028.10.22;78.7835;79.5981;0.0555
2022.10.25;A250624B14;2025.06.24;81.3079;81.7256;1.8534
2022.10.25;A240626B15;2024.06.26;82.9198;83.2422;0.9945
2022.10.25;A311022A15;2031.10.22;58.1666;59.1667;0.0267
2022.10.25;A271027A16;2027.10.27;66.4201;67.0275;2.9836
2022.10.25;A261222D17;2026.12.22;68.3198;68.7989;2.313
2022.10.25;A230726B18;2023.07.26;101.05;101.4;0
2022.10.25;A381027A18;2038.10.27;46.1504;47.1978;2.9836
2022.10.25;A241024C18;2024.10.24;79.4979;79.8254;0.0068
2022.10.25;A300821A19;2030.08.21;59.4369;60.4336;0.5342
2022.10.25;A251126C19;2025.11.26;70.4078;70.7691;0.9123
2022.10.25;A270422B20;2027.04.22;100.2;100.55;0.1388
2022.10.25;A410425A20;2041.04.25;44.6541;45.9582;1.5041
2022.10.25;A230823C20;2023.08.23;90.7137;90.8789;0.2589
2022.10.25;A290523A20;2029.05.23;57.9356;58.6379;0.8493
2022.10.25;A260422E20;2026.04.22;68.5708;69.0065;0.7644
2022.10.25;A330420A20;2033.04.20;49.4579;50.5499;1.1589
2022.10.25;A340622A21;2034.06.22;47.6953;48.7985;0.7705
2022.10.25;A290822B21;2029.08.22;97.62;97.95;2.1369
2022.10.25;A260826F21;2026.08.26;66.5734;67.1483;0.2466
2022.10.25;A510428G21;2051.04.28;47.2666;48.6493;1.9726
2022.10.25;A280323B22;2028.03.23;70.2314;70.9911;3.4397
2022.10.25;A321124A22;2032.11.24;64.2881;65.3738;3.6308
2022.10.25;A320527G22;2032.05.27;63.3494;64.5243;1.8616
2022.10.25;D230222;2023.02.22;96.2835;96.3453;0
2022.10.25;D230419;2023.04.19;94.3539;94.4584;0
2022.10.25;D230628;2023.06.28;92.0668;92.2176;0
2022.10.25;D230823;2023.08.23;90.2009;90.3719;0
2022.10.25;D230517;2023.05.17;92.9181;93.0406;0
2022.10.25;D231018;2023.10.18;88.1254;88.2801;0
2022.10.25;A320825B22;2032.08.25;97.12;97.55;0.2297
2022.10.26;A231124A07;2023.11.24;91.412;91.6353;5.5233
2022.10.26;A281022A11;2028.10.22;79.2483;79.5325;0.074
2022.10.26;A250624B14;2025.06.24;81.5953;81.7408;1.8685
2022.10.26;A240626B15;2024.06.26;83.1707;83.3022;1.0027
2022.10.26;A311022A15;2031.10.22;58.6913;59.6616;0.0356
2022.10.26;A271027A16;2027.10.27;66.5918;67.3124;0
2022.10.26;A261222D17;2026.12.22;68.6949;69.1529;2.3205
2022.10.26;A230726B18;2023.07.26;100.95;101.4;0
2022.10.26;A381027A18;2038.10.27;46.9539;48.1747;0
2022.10.26;A241024C18;2024.10.24;79.8352;80.0956;0.0137
2022.10.26;A300821A19;2030.08.21;59.9969;60.5169;0.5425
2022.10.26;A251126C19;2025.11.26;70.7524;71.2309;0.9151
2022.10.26;A270422B20;2027.04.22;100.2;100.55;0.1851
2022.10.26;A410425A20;2041.04.25;45.7065;46.7902;1.5123
2022.10.26;A230823C20;2023.08.23;90.8743;91.0395;0.263
2022.10.26;A290523A20;2029.05.23;58.3612;59.1344;0.8548
2022.10.26;A260422E20;2026.04.22;68.8597;69.3393;0.7685
2022.10.26;A330420A20;2033.04.20;50.0684;51.1352;1.1651
2022.10.26;A340622A21;2034.06.22;48.3345;49.3683;0.7767
2022.10.26;A290822B21;2029.08.22;97.57;97.95;2.1703
2022.10.26;A260826F21;2026.08.26;66.9227;66.9448;0.2507
2022.10.26;A510428G21;2051.04.28;48.0338;49.5711;1.9836
2022.10.26;A280323B22;2028.03.23;70.6058;71.3702;3.4521
2022.10.26;A321124A22;2032.11.24;64.8791;66.0703;3.6438
2022.10.26;A320527G22;2032.05.27;63.874;65.0613;1.874
2022.10.26;D230222;2023.02.22;96.3164;96.3992;0
2022.10.26;D230419;2023.04.19;94.4058;94.5056;0
2022.10.26;D230628;2023.06.28;92.1311;92.2584;0
2022.10.26;D230823;2023.08.23;90.2642;90.4349;0
2022.10.26;D230517;2023.05.17;92.9699;93.0967;0
2022.10.26;D231018;2023.10.18;88.1931;88.3864;0
2022.10.26;A320825B22;2032.08.25;96.7501;97.2303;0.2679
2022.10.27;A231124A07;2023.11.24;92.1568;92.3656;5.5397
2022.10.27;A281022A11;2028.10.22;80.5069;81.4913;0.0925
2022.10.27;A250624B14;2025.06.24;82.3047;82.8213;1.8836
2022.10.27;A240626B15;2024.06.26;84.0971;84.4501;1.011
2022.10.27;A311022A15;2031.10.22;60.1202;61.1199;0.0445
2022.10.27;A271027A16;2027.10.27;67.6131;68.404;0
2022.10.27;A261222D17;2026.12.22;69.8261;70.2441;2.3281
2022.10.27;A230726B18;2023.07.26;101.15;101.55;0.0464
2022.10.27;A381027A18;2038.10.27;48.5861;49.9158;0
2022.10.27;A241024C18;2024.10.24;80.5322;80.8513;0.0205
2022.10.27;A300821A19;2030.08.21;61.0513;62.158;0.5507
2022.10.27;A251126C19;2025.11.26;71.5993;71.9291;0.9178
2022.10.27;A270422B20;2027.04.22;100.5;100.8;0.2314
2022.10.27;A410425A20;2041.04.25;47.0567;48.2395;1.5205
2022.10.27;A230823C20;2023.08.23;91.379;91.286;0.2671
2022.10.27;A290523A20;2029.05.23;59.5374;60.429;0.8603
2022.10.27;A260422E20;2026.04.22;69.927;70.3093;0.7726
2022.10.27;A330420A20;2033.04.20;51.8129;52.7951;1.1712
2022.10.27;A340622A21;2034.06.22;49.9461;51.1589;0.7829
2022.10.27;A290822B21;2029.08.22;97.6194;97.95;2.2037
2022.10.27;A260826F21;2026.08.26;67.9682;68.4438;0.2548
